"Date.Time","Year","Month","Day","Time","Temp"
"2003-01-14 21:00",2003,1,14,"21:00",-6.8
"2003-01-14 22:00",2003,1,14,"22:00",-6.7
"2003-01-14 23:00",2003,1,14,"23:00",-6.6
"2003-01-15 00:00",2003,1,15,"00:00",-7.1
"2003-01-15 01:00",2003,1,15,"01:00",-7.7
"2003-01-15 02:00",2003,1,15,"02:00",-7.8
"2003-01-15 03:00",2003,1,15,"03:00",-8
"2003-01-15 04:00",2003,1,15,"04:00",-7.7
"2003-01-15 05:00",2003,1,15,"05:00",-7.8
"2003-01-15 06:00",2003,1,15,"06:00",-8.1
"2003-01-15 07:00",2003,1,15,"07:00",-8.5
"2003-01-15 08:00",2003,1,15,"08:00",-9.3
"2003-01-15 09:00",2003,1,15,"09:00",-9.3
"2003-01-15 10:00",2003,1,15,"10:00",-7.8
"2003-01-15 11:00",2003,1,15,"11:00",-6.9
"2003-01-15 12:00",2003,1,15,"12:00",-5.7
"2003-01-15 13:00",2003,1,15,"13:00",-5.6
"2003-01-15 14:00",2003,1,15,"14:00",-6
"2003-01-15 15:00",2003,1,15,"15:00",-5.6
"2003-01-15 16:00",2003,1,15,"16:00",-5.8
"2003-01-15 17:00",2003,1,15,"17:00",-6.6
"2003-01-15 18:00",2003,1,15,"18:00",-7
"2003-01-15 19:00",2003,1,15,"19:00",-7.6
"2003-01-15 20:00",2003,1,15,"20:00",-7.8
"2003-01-15 21:00",2003,1,15,"21:00",-7.7
"2003-01-15 22:00",2003,1,15,"22:00",-7.3
"2003-01-15 23:00",2003,1,15,"23:00",-7.3
"2003-01-16 00:00",2003,1,16,"00:00",-8.3
"2003-01-16 01:00",2003,1,16,"01:00",-7.9
"2003-01-16 02:00",2003,1,16,"02:00",-8.5
"2003-01-16 03:00",2003,1,16,"03:00",-8.1
"2003-01-16 04:00",2003,1,16,"04:00",-8.9
"2003-01-16 05:00",2003,1,16,"05:00",-8.3
"2003-01-16 06:00",2003,1,16,"06:00",-8.5
"2003-01-16 07:00",2003,1,16,"07:00",-8
"2003-01-16 08:00",2003,1,16,"08:00",-9.1
"2003-01-16 09:00",2003,1,16,"09:00",-8.2
"2003-01-16 10:00",2003,1,16,"10:00",-7.5
"2003-01-16 11:00",2003,1,16,"11:00",-6.7
"2003-01-16 12:00",2003,1,16,"12:00",-6.5
"2003-01-16 13:00",2003,1,16,"13:00",-6.6
"2003-01-16 14:00",2003,1,16,"14:00",-6.8
"2003-01-16 15:00",2003,1,16,"15:00",-6.8
"2003-01-16 16:00",2003,1,16,"16:00",-6.7
"2003-01-16 17:00",2003,1,16,"17:00",-6.6
"2003-01-16 18:00",2003,1,16,"18:00",-6.9
"2003-01-16 19:00",2003,1,16,"19:00",-6.8
"2003-01-16 20:00",2003,1,16,"20:00",-6.6
"2003-01-16 21:00",2003,1,16,"21:00",-6.4
"2003-01-16 22:00",2003,1,16,"22:00",-6.7
"2003-01-16 23:00",2003,1,16,"23:00",-6.9
"2003-01-17 00:00",2003,1,17,"00:00",-7.3
"2003-01-17 01:00",2003,1,17,"01:00",-7.2
"2003-01-17 02:00",2003,1,17,"02:00",-8.6
"2003-01-17 03:00",2003,1,17,"03:00",-10
"2003-01-17 04:00",2003,1,17,"04:00",-11.8
"2003-01-17 05:00",2003,1,17,"05:00",-14.6
"2003-01-17 06:00",2003,1,17,"06:00",-16.2
"2003-01-17 07:00",2003,1,17,"07:00",-17
"2003-01-17 08:00",2003,1,17,"08:00",-18
"2003-01-17 09:00",2003,1,17,"09:00",-18.1
"2003-01-17 10:00",2003,1,17,"10:00",-18
"2003-01-17 11:00",2003,1,17,"11:00",-17.7
"2003-01-17 12:00",2003,1,17,"12:00",-17.6
"2003-01-17 13:00",2003,1,17,"13:00",-16.9
"2003-01-17 14:00",2003,1,17,"14:00",-16
"2003-01-17 15:00",2003,1,17,"15:00",-15.2
"2003-01-17 16:00",2003,1,17,"16:00",-14.7
"2003-01-17 17:00",2003,1,17,"17:00",-14.7
"2003-01-17 18:00",2003,1,17,"18:00",-14.6
"2003-01-17 19:00",2003,1,17,"19:00",-15.5
"2003-01-17 20:00",2003,1,17,"20:00",-16.1
"2003-01-17 21:00",2003,1,17,"21:00",-15.6
"2003-01-17 22:00",2003,1,17,"22:00",-14.9
"2003-01-17 23:00",2003,1,17,"23:00",-14.8
"2003-01-18 00:00",2003,1,18,"00:00",-14.6
"2003-01-18 01:00",2003,1,18,"01:00",-15.1
"2003-01-18 02:00",2003,1,18,"02:00",-14.2
"2003-01-18 03:00",2003,1,18,"03:00",-13.5
"2003-01-18 04:00",2003,1,18,"04:00",-13.2
"2003-01-18 05:00",2003,1,18,"05:00",-13.7
"2003-01-18 06:00",2003,1,18,"06:00",-14.2
"2003-01-18 07:00",2003,1,18,"07:00",-13.9
